,Lapwing_ID,Test_Number,Urban,TimeStandingSec,area_explored,dummy enter,Head bob,Pose-fly,Puff,Scream,scrining,Shaking head,Tail wingle,Fly_Sequences,Mean_Time_Fly_sec,Total_Time_Fly_sec,SD_Time_Fly_sec,WalkingMeters,PercentageInCameraView,Date,Time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,TimeInCenter,TimeInPeri,TotalLocationsVisited,NumberOfHighExploration,NumberOfMedianExploration,NumberOfLowExploration,MinDisplacementDummy,Experiment,Head.BobBi1,PoseflyBi0,PuffBi0,ScreamBi2,scriningBi0,ShakingheadBi0,Tail.wingleBi1,Fly_Sequencessqrt,Total_Time_Fly_secSqrt,NumStopsLocations,TotalTimeStoped,MinDisplacementDummyBi120,LogWalkingMeters,ShowCameraBi50,TimeInCenter1,TimeInPeri98,NumberOfHighExploration0,MedianDisplacementCoresqrt,Months,WeightLoss,PC1_Stress,PC2_Tolerance,Initial SMI,Urban250,Experimental SMI
116,33866,3,0.03,67.83,28.21,1,2,0,0,10,0,0,0,8,4.68,37.41,1.23,20,87,24/05/2021,9:08:00,3,194,2021,Male,32.362509,34.959884,211,0.5,99.5,44,0,2,42,28.29,CST,1,0,0,1,0,0,0,2.828427125,6.116371473,120,16,0,2.995732274,1,0,0,0,17.35511452,5,-8.056872038,-0.490163565,1.246055797,215.9747104,0,197.1600349
117,33867,1,0.03,87.97,34.62,1,1,1,0,2,0,0,0,13,3.31,43,0.39,20.35,98,10/05/2021,10:18:00,5,165,2021,Female,32.362509,34.959884,192,0.6,99.4,54,0,1,53,102.91,CST,0,1,0,0,0,0,0,3.605551275,6.557438524,128,23,0,3.013080912,1,0,0,0,18.17140611,5,-14.0625,-1.395512777,0.90267299,197.481474,0,168.2520696
118,33867,2,0.03,37,21.79,1,0,0,0,1,0,0,0,3,4.27,12.81,0.25,37.17,83,17/05/2021,9:21:00,3,168,2021,Female,32.362509,34.959884,192,0.5,99.5,34,1,0,33,51.94,CST,0,0,0,0,0,0,0,1.732050808,3.579106034,87,17,0,3.615501984,1,0,0,1,17.72568757,5,-12.5,-1.743633407,-1.018781689,197.481474,0,171.3111982
119,33867,3,0.03,36.1,33.33,1,0,0,0,0,0,0,0,4,5.08,20.32,0.85,29.43,58,24/05/2021,8:08:00,1,169,2021,Female,32.362509,34.959884,192,0.4,99.6,52,0,0,52,49.88,CST,0,0,0,0,0,0,0,2,4.507771068,48,14,0,3.382014562,1,0,0,0,17.21075245,5,-11.97916667,-1.939722761,0.156908322,197.481474,0,172.3309077
120,33868,1,84.25,94.03,14.74,1,3,0,0,3,0,0,0,4,3.87,15.46,1.28,7.41,74,10/05/2021,10:58:00,6,163,2021,Male,31.849098,35.036662,177,0,100,23,1,1,21,69.18,CST,1,0,0,1,0,0,0,2,3.93192065,119,6,0,2.002830439,1,0,0,1,18.56879102,5,-7.90960452,1.024380603,-0.178988352,176.898812,100,162.9353836
121,33868,2,84.25,105.67,16.03,1,1,0,0,2,0,0,2,8,3.92,31.33,0.77,14.95,96,17/05/2021,10:36:00,5,168,2021,Male,31.849098,35.036662,177,0,100,25,0,3,22,116.06,CST,0,0,0,0,0,0,1,2.828427125,5.597320788,154,7,0,2.7047113,1,0,0,0,17.71722326,5,-5.084745763,-0.116128985,0.157138361,176.898812,100,167.9334015
122,33868,3,84.25,93.17,37.82,1,0,0,0,0,0,0,0,9,4.44,39.93,1.14,13.66,88,24/05/2021,8:44:00,2,165,2021,Male,31.849098,35.036662,177,0.5,99.5,59,0,1,58,70.71,CST,0,0,0,0,0,0,0,3,6.319018911,135,9,0,2.614471854,1,0,0,0,16.84933233,5,-6.779661017,-0.777574229,1.779257169,176.898812,100,164.9345908
123,33874,1,52.99,113.93,14.74,1,7,1,0,25,0,0,3,8,4.11,32.84,1.23,10.24,100,17/05/2021,8:13:00,1,173,2021,Female,32.137242,34.82251,183,0.2,99.8,23,1,2,20,104.13,CST,1,1,0,1,0,0,1,2.828427125,5.730619513,169,6,0,2.32630162,1,0,0,1,17.34646938,5,-5.464480874,1.168532233,1.020875146,188.2245299,42.09,176.4097457
124,33874,2,52.99,62.67,16.67,1,0,0,0,181,0,0,0,1,3.06,3.06,NA,57.13,100,24/05/2021,9:40:00,4,178,2021,Female,32.137242,34.82251,183,0,100,26,0,1,25,189.4,CST,0,0,0,1,0,0,0,1,1.749285568,67,31,1,4.045329373,1,0,0,0,17.34070356,5,-2.732240437,-1.103286872,-1.70465259,188.2245299,42.09,181.5082933
125,33896,1,70.01,70.83,25.64,1,7,0,0,0,0,0,2,1,5.81,5.81,NA,14.12,77,08/06/2021,8:14:00,1,172,2021,Male,32.554021,34.912367,179,3.7,96.3,40,0,2,38,41,CST,1,0,0,0,0,0,1,1,2.410394159,100,14,0,2.647592232,1,1,0,0,17.42670365,6,-3.910614525,0.390459424,-0.030439468,180.6016347,94.25,173.0656302
126,33896,2,70.01,98.73,48.72,1,15,0,0,1,0,0,2,5,7.35,36.74,2.76,16.15,89,14/06/2021,9:10:00,3,172,2021,Male,32.554021,34.912367,179,33.8,66.2,76,0,1,75,45.61,CST,1,0,0,0,0,0,1,2.236067977,6.061352984,122,16,0,2.78192005,1,1,0,0,15.60256389,6,-3.910614525,0.015064612,3.268991306,180.6016347,94.25,173.0656302
127,33896,3,70.01,101.57,44.23,1,6,4,0,1,0,0,3,4,5.38,21.51,1.13,16.82,100,22/06/2021,14:12:00,13,176,2021,Male,32.554021,34.912367,179,15.9,84.1,69,0,0,69,43.05,CST,1,1,0,0,0,0,1,2,4.63788745,126,25,0,2.822568655,1,1,0,0,16.35236986,6,-1.675977654,0.189035858,2.217486884,180.6016347,94.25,177.0904123
128,33897,1,70.01,31.8,8.33,1,10,0,0,0,0,2,4,2,3.53,7.07,3.84,10.99,38,08/06/2021,9:17:00,3,155,2021,Female,32.554021,34.912367,163,0,100,13,0,1,12,1.42,CST,1,0,0,0,0,1,1,1.414213562,2.65894716,40,9,0,2.396985768,0,0,0,0,17.27715254,6,-4.90797546,0.403039194,-0.805299927,163.6789128,94.25,155.4473451
129,33897,2,70.01,115.8,9.62,1,6,0,0,0,0,0,1,0,0,0,NA,12.79,100,14/06/2021,11:16:00,7,154,2021,Female,32.554021,34.912367,163,0,100,15,1,2,12,200.31,CST,1,0,0,0,0,0,0,0,0,144,17,1,2.548663616,1,0,0,1,17.45565811,6,-5.521472393,2.00305256,-1.30337274,163.6789128,94.25,154.444459
130,33897,3,70.01,105.27,23.72,1,2,0,1,0,0,1,3,0,0,0,NA,16.74,100,22/06/2021,9:15:00,4,163,2021,Female,32.554021,34.912367,163,2,98,37,0,1,36,50.42,CST,1,0,1,0,0,1,1,0,0,123,25,0,2.817801065,1,1,0,0,17.23948955,6,0,2.296924681,-1.311136605,163.6789128,94.25,163.4704339
131,33898,1,60.54,79.57,25,1,1,1,0,12,0,0,2,3,5.14,15.41,2.69,22.66,100,08/06/2021,8:43:00,2,172,2021,Female,32.556928,34.919901,175,0.9,99.1,39,0,1,38,140.63,CST,0,1,0,1,0,0,1,1.732050808,3.925557285,102,27,1,3.120601256,1,0,0,0,17.38533865,6,-1.714285714,-0.761913502,-0.154530147,172.4600671,68.63,170.265215
132,33898,2,60.54,97.33,41.03,1,2,0,0,5,0,0,2,6,5.42,32.53,2.14,21.78,98,14/06/2021,10:47:00,6,173,2021,Female,32.556928,34.919901,175,11.7,88.3,64,0,2,62,112.14,CST,1,0,0,1,0,0,1,2.449489743,5.703507693,115,18,0,3.080992118,1,1,0,0,16.84339633,6,-1.142857143,-0.238601572,2.080216792,172.4600671,68.63,171.255129
